Unnamed: 0,user_id,username,id,date,Tweet,lang,replyCount,followersCount,preprocessed_text
5,345261628,arvindrbansal,1569599757060026369,2022-09-13 08:11:58+00:00,"Scene from Lutyens house 😂🤣
#GyanvapiCase

Manish Sharma https://t.co/ELnnnF2dQ6",en,0,416,scene from lutyens house manish sharma URL 
13,4713369014,amubilalhasan,1569598188566478848,2022-09-13 08:05:44+00:00,"Watch the eye opening book review
#Gyanvapi 
#GyanvapiCase 
#GyanvapiVerdict 
#GyanvapiMosque 
#gyanwapi https://t.co/q9JV70XVkg",en,0,117,watch the eye opening book review URL 
17,1302575935971971075,BhagwaRachit,1569596941788643328,2022-09-13 08:00:47+00:00,"100% Muslims know it is Shivling, 40% Hindus think it is fountain. That's the difference.

#GyanvapiCase #VaranasiCourt #Varanasi #Gyanvapi #GyanvapiVerdict #GyanvapiMandir",en,0,205,100 muslim know it is shivling 40 hindu think it is fountain that the difference 
23,4907617525,SunilShah4444,1569596264530194432,2022-09-13 07:58:05+00:00,"He don't need security, Please I request @AmitShah Remove all his security from Delhi also😡

#ArvindKejriwal #Gyanvapi #GyanvapiCase #SaveCowSaveVillages #AncientIndianGeniuses
Rishis of Bharat Scientific Discoveries
Land Of Knowledge श्रHar Har Mahadev
seokjin Shami,#sunilshah https://t.co/FdxigIIKOj",en,0,1194,he don need security please request remove all his security from delhi also rishis of bharat scientific discovery land of knowledge har har mahadev seokjin shami URL 
26,1367753924376211457,0economichitman,1569596006748274688,2022-09-13 07:57:04+00:00,"Places of Worship Act 1991???
#GyanvapiCase #GyanvapiVerdict #GyanvapiMosque https://t.co/DiZd7GPQW1",en,0,88,place of worship act 1991 URL 
27,38647512,IndianExpress,1569595671484993536,2022-09-13 07:55:44+00:00,"#ExpressEditorial | The judge has held that the petitioners only sought right to worship as a civil right at the disputed property and their appeal did not seek conversion of the mosque to a temple or demand ownership of the complex. #GyanvapiCase

Read: https://t.co/PL9ZMQVsek https://t.co/aqJRdaeo5Y",en,1,4206486,the judge ha held that the petitioner only sought right to worship a civil right at the disputed property and their appeal did not seek conversion of the mosque to temple or demand ownership of the complex read URL URL 
31,1291365724372340737,madhyamam_eng,1569594864144191488,2022-09-13 07:52:31+00:00,Gyanvapi Case: Muslim groups fear more cases of claims by Hindu groups over mosques #GyanvapiCase #MuslimgroupsfearmorecasesofclaimsbyHindugroupsovermosques #AIMIM #AsaduddinOwaisi https://t.co/xHEQRrTNdB,en,0,865,gyanvapi case muslim group fear more case of claim by hindu group over mosque URL 
40,735909106041692161,manan1088,1569592790845386752,2022-09-13 07:44:17+00:00,"RT @KreatelyMedia: Do you know these legends ?
#GyanvapiCase #Gyanvapi https://t.co/7W6nVkqCgS",en,0,18,rt do you know these legend URL 
41,127466962,sunny1243,1569592719491891200,2022-09-13 07:44:00+00:00,"THINK ABOUT THIS NANDI WHO HAS BEEN WAITING FOR SHIV JI FOR MORE THAN 350 YEARS.

Finally his Wait is over, 
Shiv ji has arrived 🙏🙏
#Gyanvapi
#GyanvapiCase https://t.co/tZ1B62M03L https://t.co/NcS7P2xxes",en,0,629,think about this nandi who ha been waiting for shiv ji for more than 350 year finally his wait is over shiv ji ha arrived URL URL 
43,735909106041692161,manan1088,1569592358454591491,2022-09-13 07:42:34+00:00,"RT @MahantYogiG: Big Victory for Hindus.

Har Har Mahadev🚩

#GyanvapiCase #KashiVishwanath https://t.co/MGLw7MBoIK",en,0,18,rt big victory for hindu har har mahadev URL 
