Unnamed: 0,user_id,username,id,date,Tweet,lang,replyCount,followersCount,preprocessed_text
0,1564135521760096258,SaffronFire,1570051004053491713,2022-09-14 14:05:04+00:00,"Sadhus getting keeled In the name of Fake Baccha chor and got Abused hitted hard kinda half murder And chuslamic are doing sar tan zumda still no issues Free hai.
Police are Impotemt...🤡🤡🤡
#Sadhus #SarTanSeJuda",en,0,597,sadhu getting keeled in the name of fake baccha chor and got abused hitted hard kinda half murder and chuslamic are doing sar tan zumda still no issue free hai police are impotemt 
1,306357166,SimplyyJKS,1570040889472618497,2022-09-14 13:24:52+00:00,"Need this much of confidence 😆 

#LoveJihad #SarTanSeJuda #HindusUnderAttackInIndia #HinduLivesMatters #HindusUnderAttack 

@jihadwatchRS https://t.co/CqwrC314jw",en,0,32,need this much of confidence URL 
5,1393917252303417348,soldierofgod108,1570031351554002946,2022-09-14 12:46:58+00:00,"India now chants Bharat Mata ki Jai / Vande Matram..
India in 2050 #SarTanSeJuda will be the new slogan, Secularism will go in vain &amp; Supreme court will turn into Sharia court.
Convert ,die or run will be heard again.
#hindurashtra",en,0,76,india now chant bharat mata ki jai vande matram india in 2050 will be the new slogan secularism will go in vain amp supreme court will turn into sharia court convert die or run will be heard again 
6,1535688169231831040,RanaJi19861986,1570028420788293640,2022-09-14 12:35:19+00:00,@HinduBoy09 Tight slap for #SarTanSeJuda slogans and supporting gang!  @alishan_jafri @zoo_bear @AltNews @ajitanjum @AshrafFem @_sayema @khanumarfa,en,0,0,tight slap for slogan and supporting gang 
7,1566728648484331524,AaliyaFatima94,1570025110635008002,2022-09-14 12:22:10+00:00,"What is going on?? avoid such kinda of hate... or this is just Conspiracy to against Indian Muslims ?
Note: Just found this on Social Media

#KanhaiyaLal #SarTanSeJuda https://t.co/5oPkjUx2zE",en,1,20,what is going on avoid such kinda of hate or this is just conspiracy to against indian muslim note just found this on social medium URL 
8,80183148,skgrb,1570022935674638337,2022-09-14 12:13:32+00:00,@swati_gs they need to  move to 52 islamic nations. specially pakistan. #SarTanSeJuda,en,0,196,they need to move to 52 islamic nation specially pakistan 
9,76088793,drrmittal,1570021154609582080,2022-09-14 12:06:27+00:00,"@SpiritOfCongres, Translation of below Tweet : English version of #SarTanSeJuda. #BharatTodoYatra https://t.co/FRu5jW6J1y",en,0,669,translation of below tweet english version of URL 
10,1482025421080514569,abhishGa,1570017739317850121,2022-09-14 11:52:53+00:00,"#Bengal senior BJP party members are beaten up by police &amp; Mahishi Sena but #SarTanSeJuda gangs are given police protection &amp; the CM literally begged in front of them,that's TMC ?
#Bihar Jungle Raj is back?
Waqf Board is worse than Land Mafia, right?
https://t.co/fJXIBvRuQF",en,3,6635,senior bjp party member are beaten up by police amp mahishi sena but gang are given police protection amp the cm literally begged in front of them that tmc jungle raj is back waqf board is worse than land mafia right URL 
11,1482025421080514569,abhishGa,1570012954946580483,2022-09-14 11:33:52+00:00,"#Bengal the BJP party members are beaten up by police &amp; Mahishi Sena but the #SarTanSeJuda gangs were given police protection &amp; the CM literally begged in front of them,that's TMC ?
#Bihar Jungle Raj is back?
Waqf Board is worse than Land Mafia,isn't it?
https://t.co/fJXIBvRuQF",en,0,6635,the bjp party member are beaten up by police amp mahishi sena but the gang were given police protection amp the cm literally begged in front of them that tmc jungle raj is back waqf board is worse than land mafia isn it URL 
14,1493556050557308930,Vijayafourth,1570010125859188737,2022-09-14 11:22:38+00:00,"@DefenseCounselV @LiveLawIndia Who is communal? A community which flouts the rules of an institution is communal.A community which forbids worship of another in a demolished historic temple is communal. A community shouting #SarTanSeJuda for every imagined slight is communal 
#Gyanvapi 
#Hijab",en,0,392,who is communal community which flouts the rule of an institution is communal community which forbids worship of another in demolished historic temple is communal community shouting for every imagined slight is communal 
15,1472971618204807172,trawelkarr,1570009026150428673,2022-09-14 11:18:15+00:00,"@HassanFarhad17 @Srikant507 @Siddhar05645570 @nileshs61178221 @MohammadAlamyar @YousafzaiAnayat We never say it's religion war,stupid ppl only think like that, this is against humanity, so cum n loudly say #Hindu /#Muslim ppl tht we r against #SarTanSeJuda,bt we all C mostly #Hindu ppl cum in front n other will nt n
This is di fact
#BoycottBrahmastra
#Boycott
#Brahmastra",en,1,6,we never say it religion war stupid ppl only think like that this is against humanity so cum loudly say ppl tht we against we all mostly ppl cum in front other will nt this is di fact 
17,630356502,connectajitcpr,1570003975277268992,2022-09-14 10:58:11+00:00,"Rapper Santhanam Srinivasan Iyer, Stage name EPR, Actually 
Rapped About 
#SarTanSeJuda [सर तन से जुदा]
Brigade. Kudos 

Please listen &amp; share.

 https://t.co/I2j4PTBXPT",en,0,4732,rapper santhanam srinivasan iyer stage name epr actually rapped about brigade kudos please listen amp share URL 
18,18039408,mannuforall,1569999779907923968,2022-09-14 10:41:31+00:00,"@idleildi @shubhankrmishra Pointing to all but main highlight is #SarTanSeJuda! 
To make a balance he added all, as he knows the side-effect of pointing #SarTanSeJuda!
Though the singer loves Rohingya, JNU gang, and other anti nationals.",en,1,1525,pointing to all but main highlight is to make balance he added all a he know the side effect of pointing though the singer love rohingya jnu gang and other anti national 
19,1259108526984704004,TheRawFact,1569998780769902594,2022-09-14 10:37:33+00:00,"""सर तन से जुदा"" is not a slogan.

It's a real face of Islamic TERRORISM.
#SarTanSeJuda 

#SpeakAgainstTerror https://t.co/O7kjTng79r",en,1,10031,is not slogan it real face of islamic terrorism URL 
20,1568623531340201984,BhaiSnatani,1569998144477495296,2022-09-14 10:35:01+00:00,"@gagandskohli @asadowaisi Are you know about Sheesh ganj gurudwara??

If don't read,
If yes always remember it why your Gurus are sacrificed themselves?

So don't trust these bloodthirsty Mob who chants #SarTanSeJuda",en,0,0,are you know about sheesh ganj gurudwara if don read if yes always remember it why your guru are sacrificed themselves so don trust these bloodthirsty mob who chant 
