Unnamed: 0,user_id,username,id,date,Tweet,lang,replyCount,followersCount,preprocessed_text
13,128334973,CyberAnonymous,1569591131234500610,2022-09-13 07:37:41+00:00,"timesofindia: #Congress' #BharatJodoYatra enters 7th day 

https://t.co/5hIfvgzMB8",en,0,1994,timesofindia enters 7th day URL 
18,707079787089539072,PumpiBaghel,1569591105464979459,2022-09-13 07:37:35+00:00,"Bharat Jodo Yatra believes in inclusion of people from all walks of life. 

It believes in equality, simplicity and amplifying people's voices.
#BharatJodoYatra https://t.co/40hjuh4PWA",en,0,20978,bharat jodo yatra belief in inclusion of people from all walk of life it belief in equality simplicity and amplifying people voice URL 
19,707079787089539072,PumpiBaghel,1569591102487040000,2022-09-13 07:37:35+00:00,"The idea of #BharatJodoYatra 🇮🇳 cuts across all cultures, religions &amp; languages. 
Padyatris march on as history is being scripted! https://t.co/ZEOFrpDPw5",en,0,20978,the idea of cut across all culture religion amp language padyatris march on a history is being scripted URL 
23,812351234967379968,Nil_deshbhratar,1569591078835335168,2022-09-13 07:37:29+00:00,"From Cycle Yatra to Padyatra, the love and support of the people remain intact.""

#YatraStories 
#BharatJodoYatra 🇮🇳 https://t.co/YzuHRUXmHJ",en,0,5941,from cycle yatra to padyatra the love and support of the people remain intact URL 
28,1055168093234847744,SevadalOR,1569591022623260674,2022-09-13 07:37:16+00:00,"After Dinner Stunt With Auto Driver Chota Sanghi @ArvindKejriwal Returns To Delhi by Private Jet 

#BharatJodoYatra 🇮🇳 https://t.co/8d6MYidpgX",en,0,7423,after dinner stunt with auto driver chota sanghi return to delhi by private jet URL 
30,70487291,c_w_mckenzie,1569591007859339272,2022-09-13 07:37:12+00:00,It maybe a ploy by the communist government in Kerala to defame the #BharatJodoYatra by projecting it as a nuisance for emergency services https://t.co/dxjgwwDRhi,en,0,196,it maybe ploy by the communist government in kerala to defame the by projecting it a nuisance for emergency service URL 
41,1241359090078511110,SevadalBV,1569590940465246208,2022-09-13 07:36:56+00:00,"Day 7, #BharatJodoYatra 🇮🇳

Bharat Jodo Yatra believes in inclusion of people from all walks of life. 

It believes in equality, simplicity and amplifying people's voices. https://t.co/yuWDxK3k5w",en,0,1077,day bharat jodo yatra belief in inclusion of people from all walk of life it belief in equality simplicity and amplifying people voice URL 
60,27282607,iArifR,1569590763759222785,2022-09-13 07:36:14+00:00,"Day 7, #BharatJodoYatra 🇮🇳

Bharat Jodo Yatra believes in inclusion of people from all walks of life. 

It believes in equality, simplicity and amplifying people's voices. https://t.co/vbXpiaRQbj",en,0,379,day bharat jodo yatra belief in inclusion of people from all walk of life it belief in equality simplicity and amplifying people voice URL 
70,944100087868792838,DilipKu50136698,1569590667856289792,2022-09-13 07:35:51+00:00,The joy of witnessing the historic movement unfold!  #BharatJodoYatra 🇮🇳 https://t.co/FT8IIDZy3C,en,0,232,the joy of witnessing the historic movement unfold URL 
71,1192002201507573760,ShivdeepDehari2,1569590666812080128,2022-09-13 07:35:51+00:00,"Always an enlightening experience communicating ideas with the students. India's future lies in the hands of youth &amp; it is our duty to fulfill their aspirations.
#BharatJodoYatra 🇮🇳 https://t.co/KYh5TL3KV3",en,0,1886,always an enlightening experience communicating idea with the student india future lie in the hand of youth amp it is our duty to fulfill their aspiration URL 
