videoID,textDisplay,textOriginal,authorDisplayName,authorChannelId,publishedAt,preprocessed_text
WB03WCIr9Ls,"Reality of the world, when you don&#39;t have money 💰 no one will respect you 😁🤣🤣🤣","Reality of the world, when you don't have money 💰 no one will respect you 😁🤣🤣🤣",N,UCx9SxXQznAyUispShIR-VZQ,2022-09-16T04:28:57Z,reality of the world when you don have money no one will respect you 
WB03WCIr9Ls,Our pm is superb he doesn&#39;t involve in such baseless country,Our pm is superb he doesn't involve in such baseless country,MITHILESH KUMAR PANDEY,UCpoqmv8CuejWGAqYmUTUYWg,2022-09-16T04:17:23Z,our pm is superb he doesn involve in such baseless country 
WB03WCIr9Ls,Ye koi news nahi ...khana to koi aage lega to koi piche bhi lega ...that&#39;s no mettar,Ye koi news nahi ...khana to koi aage lega to koi piche bhi lega ...that's no mettar,Santosh Sharma,UC-GE7KiHG-CbuJbqWBf8mHA,2022-09-16T04:25:46Z,ye koi news nahi khana to koi aage lega to koi piche bhi lega that no mettar 
WB03WCIr9Ls,😂😂,😂😂,Jivan,UCljbE36A7JhNZvD6U4BILPA,2022-09-16T04:14:16Z,
WB03WCIr9Ls,They keep name  Sharif......but they are not Sharif.... world leaders know this,They keep name  Sharif......but they are not Sharif.... world leaders know this,Sk Patel433,UC-2uU_XbMQXxAiDEDr7Y39Q,2022-09-16T04:16:48Z,they keep name sharif but they are not sharif world leader know this 
WB03WCIr9Ls,Faltu news...,Faltu news...,sangram gaikwad,UCy-xw2sZXHMPUq7Q-gAUNkg,2022-09-16T04:32:54Z,faltu news 
WB03WCIr9Ls,Garib h,Garib h,Kris Kisu,UChOsn_KG2i0vSZ__U640Tpw,2022-09-16T04:22:29Z,garib 
WB03WCIr9Ls,Not relevant for news.,Not relevant for news.,Rajan Bharti,UCk_bXY5pDLBbP7ITrzsPD2w,2022-09-16T04:10:15Z,not relevant for news 
WB03WCIr9Ls,Using words like “ okat “ doesn’t suits on news channel,Using words like “ okat “ doesn’t suits on news channel,Anuj Raghuwamshi,UCIkNbxUzBXD0j2N1kTzi8aA,2022-09-16T04:07:29Z,using word like okat doesn suit on news channel 
WB03WCIr9Ls,Shame on media this is a PM of country,Shame on media this is a PM of country,SUNILLL,UCccULtvwQlFnsfYcepasBGw,2022-09-16T04:11:59Z,shame on medium this is pm of country 
WB03WCIr9Ls,Idiot&#39;s,Idiot's,assu.pasha07,UCgXR_KQYHLnh9HEtABit9WA,2022-09-16T04:27:57Z,idiot 
WB03WCIr9Ls,Beggers always feed at LAST.,Beggers always feed at LAST.,Gourango Bhattacharjee,UCRgzitBlHCXdC0F85N9LTHg,2022-09-16T04:01:34Z,beggers always feed at last 
WB03WCIr9Ls,"I&#39;m indian,however as common people of the world,I can  say s.sharif is good and struggle person he can do good of pakistan.jai hind","I'm indian,however as common people of the world,I can  say s.sharif is good and struggle person he can do good of pakistan.jai hind",taba tagu,UCBqtFD4t_dRncQUZjVQDhsw,2022-09-16T04:20:01Z,indian however a common people of the world can say sharif is good and struggle person he can do good of pakistan jai hind 
Jp6U2HpPMu8,Excellent Black and white Analysis by Excellent journalist Sudhir Chaudhariji.,Excellent Black and white Analysis by Excellent journalist Sudhir Chaudhariji.,neeta basu,UCLiw8H123LHzDZGEznbijvw,2022-09-15T19:08:20Z,excellent black and white analysis by excellent journalist sudhir chaudhariji 
us5SNs_JYU4,Excellent Black and white Analysis by Excellent journalist Sudhir Chaudhariji.,Excellent Black and white Analysis by Excellent journalist Sudhir Chaudhariji.,neeta basu,UCLiw8H123LHzDZGEznbijvw,2022-09-15T19:08:20Z,excellent black and white analysis by excellent journalist sudhir chaudhariji 
NVDhKSK6tG4,"If these will unite and will continue the promises, then it will be a game changing for the world","If these will unite and will continue the promises, then it will be a game changing for the world",Ranjana Phatak,UCDEnC8lRj7_aloodB4Md6mQ,2022-09-14T10:57:57Z,if these will unite and will continue the promise then it will be game changing for the world 
NVDhKSK6tG4,Meeting with Shahbaz is not the demand of the hour at present ??? India must wait and watch for the right time ???,Meeting with Shahbaz is not the demand of the hour at present ??? India must wait and watch for the right time ???,Shitaljit Singha,UCTunWGyL_Xb_4FFwpx4DI4A,2022-09-15T07:44:17Z,meeting with shahbaz is not the demand of the hour at present india must wait and watch for the right time 
