videoID,textDisplay,textOriginal,authorDisplayName,authorChannelId,publishedAt,preprocessed_text
Yl0qdqjogg0,Giving death threat is a crime then why these creatures are free arrest all these filthy creatures and just do sar tanse juda of all these,Giving death threat is a crime then why these creatures are free arrest all these filthy creatures and just do sar tanse juda of all these,Likhitha Sebastian,UCrAiYGwr5CbldaC80rM9lng,2022-08-25T20:41:48Z,giving death threat is crime then why these creature are free arrest all these filthy creature and just do sar tanse juda of all these 
Yl0qdqjogg0,Peaceful community,Peaceful community,Harshill Vermaa,UCsig3cE1VWirDJGc4eeUEDA,2022-08-25T03:42:05Z,peaceful community 
Yl0qdqjogg0,"After losing so much to stock market, One best investment decision I ever made afterwards was investing in financial markets. Which has earned me $34,970 profit every 14days lately. Trust me guys it pays a lot.","After losing so much to stock market, One best investment decision I ever made afterwards was investing in financial markets. Which has earned me $34,970 profit every 14days lately. Trust me guys it pays a lot.",James Jovil,UCJy0rIkiXnX5YMQcOELoXbQ,2022-08-25T03:39:16Z,after losing so much to stock market one best investment decision ever made afterwards wa investing in financial market which ha earned me 34 970 profit every 14days lately trust me guy it pay lot 
Yl0qdqjogg0,Why should the MLA who created this unrest should be let out free?,Why should the MLA who created this unrest should be let out free?,L. Walter Menezes,UC2Uc3XPaMcgkaO6ve_CVK0Q,2022-08-25T04:04:16Z,why should the mla who created this unrest should be let out free 
Yl0qdqjogg0,Allah Save our country from sar tan sa juda jahil goons. Truth cannot be blasphemy(Sahih al-Bukhari),Allah Save our country from sar tan sa juda jahil goons. Truth cannot be blasphemy(Sahih al-Bukhari),Nikhil Pitti,UC5oGHkNVsLm3qoEgzbGZNlw,2022-08-25T12:58:07Z,allah save our country from sar tan sa juda jahil goon truth cannot be blasphemy sahih al bukhari 
Yl0qdqjogg0,Boycott islam if you don&#39;t like your paigambar truth,Boycott islam if you don't like your paigambar truth,Aditya Pathak,UCKpLCQkv7M5pf_l48Rf00ew,2022-08-29T08:17:19Z,boycott islam if you don like your paigambar truth 
Yl0qdqjogg0,Worrest govt in Telanagana.. No law n order.,Worrest govt in Telanagana.. No law n order.,pramod k,UCEonYv2P8WxjIVijkqq_JsQ,2022-08-25T03:49:12Z,worrest govt in telanagana no law order 
Yl0qdqjogg0,Congress ki baat sach hai it&#39;s too much unemployment in India hence proved.,Congress ki baat sach hai it's too much unemployment in India hence proved.,Tejas Sawool,UCA-JT3_kRh5F7xzOKjVD78Q,2022-08-25T03:50:14Z,congress ki baat sach hai it too much unemployment in india hence proved 
Yl0qdqjogg0,KTR and MIM  is the reason behind it...,KTR and MIM  is the reason behind it...,pradeep goud,UCpv2yHuv2aAbcMBFjizTi8A,2022-08-25T04:44:56Z,ktr and mim is the reason behind it 
7POicDlsJSs,BOYCOTT MUSLIM SHOPS AND BUSINESSES,BOYCOTT MUSLIM SHOPS AND BUSINESSES,Nexter Biggs,UC9LQXV9y0JSJxuSuVkGhl9g,2022-09-13T06:26:18Z,boycott muslim shop and business 
