,Unnamed: 0,user_id,username,id,date,Tweet,lang,replyCount,followersCount,preprocessed_text,lemmatized_text,pos_tags,senti_score,Overall Sentiment
0,5,345261628,arvindrbansal,1569599757060026369,2022-09-13 08:11:58+00:00,"Scene from Lutyens house 😂🤣
#GyanvapiCase

Manish Sharma https://t.co/ELnnnF2dQ6",en,0,416,scene from lutyens house manish sharma URL ,"['scene', 'from', 'lutyens', 'house', 'manish', 'sharma', 'URL']","[('scene', 'NN'), ('from', 'IN'), ('lutyens', 'NNS'), ('house', 'NN'), ('manish', 'JJ'), ('sharma', 'NN'), ('URL', 'NNP')]",0.0,Neutral
1,13,4713369014,amubilalhasan,1569598188566478848,2022-09-13 08:05:44+00:00,"Watch the eye opening book review
#Gyanvapi 
#GyanvapiCase 
#GyanvapiVerdict 
#GyanvapiMosque 
#gyanwapi https://t.co/q9JV70XVkg",en,0,117,watch the eye opening book review URL ,"['watch', 'the', 'eye', 'opening', 'book', 'review', 'URL']","[('watch', 'VB'), ('the', 'DT'), ('eye', 'NN'), ('opening', 'VBG'), ('book', 'NN'), ('review', 'NN'), ('URL', 'NNP')]",0.125,Positive
2,17,1302575935971971075,BhagwaRachit,1569596941788643328,2022-09-13 08:00:47+00:00,"100% Muslims know it is Shivling, 40% Hindus think it is fountain. That's the difference.

#GyanvapiCase #VaranasiCourt #Varanasi #Gyanvapi #GyanvapiVerdict #GyanvapiMandir",en,0,205,100 muslim know it is shivling 40 hindu think it is fountain that the difference ,"['100', 'muslim', 'know', 'it', 'is', 'shivling', '40', 'hindu', 'think', 'it', 'is', 'fountain', 'that', 'the', 'difference']","[('100', 'CD'), ('muslim', 'NNS'), ('know', 'VBP'), ('it', 'PRP'), ('is', 'VBZ'), ('shivling', 'VBG'), ('40', 'CD'), ('hindu', 'JJ'), ('think', 'NN'), ('it', 'PRP'), ('is', 'VBZ'), ('fountain', 'JJ'), ('that', 'IN'), ('the', 'DT'), ('difference', 'NN')]",0.25,Positive
3,23,4907617525,SunilShah4444,1569596264530194432,2022-09-13 07:58:05+00:00,"He don't need security, Please I request @AmitShah Remove all his security from Delhi also😡

#ArvindKejriwal #Gyanvapi #GyanvapiCase #SaveCowSaveVillages #AncientIndianGeniuses
Rishis of Bharat Scientific Discoveries
Land Of Knowledge श्रHar Har Mahadev
seokjin Shami,#sunilshah https://t.co/FdxigIIKOj",en,0,1194,he don need security please request remove all his security from delhi also rishis of bharat scientific discovery land of knowledge har har mahadev seokjin shami URL ,"['he', 'don', 'need', 'security', 'please', 'request', 'remove', 'all', 'his', 'security', 'from', 'delhi', 'also', 'rishis', 'of', 'bharat', 'scientific', 'discovery', 'land', 'of', 'knowledge', 'har', 'har', 'mahadev', 'seokjin', 'shami', 'URL']","[('he', 'PRP'), ('don', 'VBD'), ('need', 'JJ'), ('security', 'NN'), ('please', 'VB'), ('request', 'JJS'), ('remove', 'VB'), ('all', 'DT'), ('his', 'PRP$'), ('security', 'NN'), ('from', 'IN'), ('delhi', 'NN'), ('also', 'RB'), ('rishis', 'NN'), ('of', 'IN'), ('bharat', 'NN'), ('scientific', 'JJ'), ('discovery', 'NN'), ('land', 'NN'), ('of', 'IN'), ('knowledge', 'NN'), ('har', 'NN'), ('har', 'NN'), ('mahadev', 'NN'), ('seokjin', 'NN'), ('shami', 'NN'), ('URL', 'NNP')]",1.0,Positive
4,26,1367753924376211457,0economichitman,1569596006748274688,2022-09-13 07:57:04+00:00,"Places of Worship Act 1991???
#GyanvapiCase #GyanvapiVerdict #GyanvapiMosque https://t.co/DiZd7GPQW1",en,0,88,place of worship act 1991 URL ,"['place', 'of', 'worship', 'act', '1991', 'URL']","[('place', 'NN'), ('of', 'IN'), ('worship', 'NN'), ('act', 'NN'), ('1991', 'CD'), ('URL', 'NNP')]",0.0,Neutral
5,27,38647512,IndianExpress,1569595671484993536,2022-09-13 07:55:44+00:00,"#ExpressEditorial | The judge has held that the petitioners only sought right to worship as a civil right at the disputed property and their appeal did not seek conversion of the mosque to a temple or demand ownership of the complex. #GyanvapiCase

Read: https://t.co/PL9ZMQVsek https://t.co/aqJRdaeo5Y",en,1,4206486,the judge ha held that the petitioner only sought right to worship a civil right at the disputed property and their appeal did not seek conversion of the mosque to temple or demand ownership of the complex read URL URL ,"['the', 'judge', 'ha', 'held', 'that', 'the', 'petitioner', 'only', 'sought', 'right', 'to', 'worship', 'a', 'civil', 'right', 'at', 'the', 'disputed', 'property', 'and', 'their', 'appeal', 'did', 'not', 'seek', 'conversion', 'of', 'the', 'mosque', 'to', 'temple', 'or', 'demand', 'ownership', 'of', 'the', 'complex', 'read', 'URL', 'URL']","[('the', 'DT'), ('judge', 'NN'), ('ha', 'VBD'), ('held', 'VBD'), ('that', 'IN'), ('the', 'DT'), ('petitioner', 'NN'), ('only', 'RB'), ('sought', 'VBD'), ('right', 'JJ'), ('to', 'TO'), ('worship', 'VB'), ('a', 'DT'), ('civil', 'JJ'), ('right', 'NN'), ('at', 'IN'), ('the', 'DT'), ('disputed', 'JJ'), ('property', 'NN'), ('and', 'CC'), ('their', 'PRP$'), ('appeal', 'NN'), ('did', 'VBD'), ('not', 'RB'), ('seek', 'VB'), ('conversion', 'NN'), ('of', 'IN'), ('the', 'DT'), ('mosque', 'NN'), ('to', 'TO'), ('temple', 'VB'), ('or', 'CC'), ('demand', 'VB'), ('ownership', 'NN'), ('of', 'IN'), ('the', 'DT'), ('complex', 'JJ'), ('read', 'NN'), ('URL', 'NNP'), ('URL', 'NNP')]",0.375,Positive
6,31,1291365724372340737,madhyamam_eng,1569594864144191488,2022-09-13 07:52:31+00:00,Gyanvapi Case: Muslim groups fear more cases of claims by Hindu groups over mosques #GyanvapiCase #MuslimgroupsfearmorecasesofclaimsbyHindugroupsovermosques #AIMIM #AsaduddinOwaisi https://t.co/xHEQRrTNdB,en,0,865,gyanvapi case muslim group fear more case of claim by hindu group over mosque URL ,"['gyanvapi', 'case', 'muslim', 'group', 'fear', 'more', 'case', 'of', 'claim', 'by', 'hindu', 'group', 'over', 'mosque', 'URL']","[('gyanvapi', 'NN'), ('case', 'NN'), ('muslim', 'NN'), ('group', 'NN'), ('fear', 'VBP'), ('more', 'JJR'), ('case', 'NN'), ('of', 'IN'), ('claim', 'NN'), ('by', 'IN'), ('hindu', 'NN'), ('group', 'NN'), ('over', 'IN'), ('mosque', 'NN'), ('URL', 'NNP')]",0.125,Positive
7,40,735909106041692161,manan1088,1569592790845386752,2022-09-13 07:44:17+00:00,"RT @KreatelyMedia: Do you know these legends ?
#GyanvapiCase #Gyanvapi https://t.co/7W6nVkqCgS",en,0,18,rt do you know these legend URL ,"['rt', 'do', 'you', 'know', 'these', 'legend', 'URL']","[('rt', 'NN'), ('do', 'VBP'), ('you', 'PRP'), ('know', 'VB'), ('these', 'DT'), ('legend', 'VB'), ('URL', 'NN')]",0.0,Neutral
8,41,127466962,sunny1243,1569592719491891200,2022-09-13 07:44:00+00:00,"THINK ABOUT THIS NANDI WHO HAS BEEN WAITING FOR SHIV JI FOR MORE THAN 350 YEARS.

Finally his Wait is over, 
Shiv ji has arrived 🙏🙏
#Gyanvapi
#GyanvapiCase https://t.co/tZ1B62M03L https://t.co/NcS7P2xxes",en,0,629,think about this nandi who ha been waiting for shiv ji for more than 350 year finally his wait is over shiv ji ha arrived URL URL ,"['think', 'about', 'this', 'nandi', 'who', 'ha', 'been', 'waiting', 'for', 'shiv', 'ji', 'for', 'more', 'than', '350', 'year', 'finally', 'his', 'wait', 'is', 'over', 'shiv', 'ji', 'ha', 'arrived', 'URL', 'URL']","[('think', 'VB'), ('about', 'IN'), ('this', 'DT'), ('nandi', 'NN'), ('who', 'WP'), ('ha', 'VBD'), ('been', 'VBN'), ('waiting', 'VBG'), ('for', 'IN'), ('shiv', 'NN'), ('ji', 'NN'), ('for', 'IN'), ('more', 'JJR'), ('than', 'IN'), ('350', 'CD'), ('year', 'NN'), ('finally', 'RB'), ('his', 'PRP$'), ('wait', 'NN'), ('is', 'VBZ'), ('over', 'IN'), ('shiv', 'JJ'), ('ji', 'NN'), ('ha', 'NN'), ('arrived', 'VBD'), ('URL', 'NNP'), ('URL', 'NNP')]",0.0,Neutral
9,43,735909106041692161,manan1088,1569592358454591491,2022-09-13 07:42:34+00:00,"RT @MahantYogiG: Big Victory for Hindus.

Har Har Mahadev🚩

#GyanvapiCase #KashiVishwanath https://t.co/MGLw7MBoIK",en,0,18,rt big victory for hindu har har mahadev URL ,"['rt', 'big', 'victory', 'for', 'hindu', 'har', 'har', 'mahadev', 'URL']","[('rt', 'NN'), ('big', 'JJ'), ('victory', 'NN'), ('for', 'IN'), ('hindu', 'NN'), ('har', 'NN'), ('har', 'NN'), ('mahadev', 'NN'), ('URL', 'NNP')]",0.625,Positive
10,44,127466962,sunny1243,1569592321137836033,2022-09-13 07:42:25+00:00,"#Gyanvapicase 
Petitioners ....
#Gyanvapi https://t.co/LuExREtfvq https://t.co/2K3zX3NqUl",en,0,629,petitioner URL URL ,"['petitioner', 'URL', 'URL']","[('petitioner', 'NN'), ('URL', 'NNP'), ('URL', 'NNP')]",0.0,Neutral
11,45,164142518,VarunjamwalBJP,1569592294223007745,2022-09-13 07:42:19+00:00,"No Regret, No Repentance, No Sorrow, No Grief. 

You know what I mean….

Har Har Mahadev ❤️ #GyanvapiCase",en,0,2356,no regret no repentance no sorrow no grief you know what mean har har mahadev ,"['no', 'regret', 'no', 'repentance', 'no', 'sorrow', 'no', 'grief', 'you', 'know', 'what', 'mean', 'har', 'har', 'mahadev']","[('no', 'DT'), ('regret', 'JJ'), ('no', 'DT'), ('repentance', 'NN'), ('no', 'DT'), ('sorrow', 'NN'), ('no', 'DT'), ('grief', 'NN'), ('you', 'PRP'), ('know', 'VBP'), ('what', 'WP'), ('mean', 'JJ'), ('har', 'NN'), ('har', 'NN'), ('mahadev', 'NN')]",0.0,Neutral
12,47,1536371087977893888,ShaakhPe,1569592015687647232,2022-09-13 07:41:12+00:00,"@sushantsareen @ARanganathan72 
sar-tan-se-juda coming soon to a place near you
#GYANWAPI 
#GyanvapiCase https://t.co/MzjcJeaBnK",en,0,5,sar tan se juda coming soon to place near you URL ,"['sar', 'tan', 'se', 'juda', 'coming', 'soon', 'to', 'place', 'near', 'you', 'URL']","[('sar', 'NN'), ('tan', 'NN'), ('se', 'NN'), ('juda', 'NN'), ('coming', 'VBG'), ('soon', 'RB'), ('to', 'TO'), ('place', 'VB'), ('near', 'IN'), ('you', 'PRP'), ('URL', 'VBP')]",0.0,Neutral
13,49,19897138,IndiaToday,1569591668504170498,2022-09-13 07:39:50+00:00,"Mehbooba Mufti slams Gyanvapi ruling. 
Says, ""Decision will lead to rabble rousing."" 

#ITVideo #GyanvapiCase https://t.co/P3ojzhdNWs",en,2,6153644,mehbooba mufti slam gyanvapi ruling say decision will lead to rabble rousing URL ,"['mehbooba', 'mufti', 'slam', 'gyanvapi', 'ruling', 'say', 'decision', 'will', 'lead', 'to', 'rabble', 'rousing', 'URL']","[('mehbooba', 'NN'), ('mufti', 'NN'), ('slam', 'NN'), ('gyanvapi', 'NN'), ('ruling', 'VBG'), ('say', 'VBP'), ('decision', 'NN'), ('will', 'MD'), ('lead', 'VB'), ('to', 'TO'), ('rabble', 'JJ'), ('rousing', 'NN'), ('URL', 'NN')]",0.0,Neutral
14,52,1023557065351028737,sunil28474739,1569591020580646912,2022-09-13 07:37:15+00:00,"The Power of Women in Bharat  !!

Har Har Mahadev !!
#Gyanvapi 
#GyanvapiCase https://t.co/8BVfaBEsyw",en,0,3205,the power of woman in bharat har har mahadev URL ,"['the', 'power', 'of', 'woman', 'in', 'bharat', 'har', 'har', 'mahadev', 'URL']","[('the', 'DT'), ('power', 'NN'), ('of', 'IN'), ('woman', 'NN'), ('in', 'IN'), ('bharat', 'NN'), ('har', 'NN'), ('har', 'NN'), ('mahadev', 'NN'), ('URL', 'NNP')]",0.0,Neutral
15,54,1357341105172344837,realmofrich07,1569590739390312448,2022-09-13 07:36:08+00:00,"When Namaz is not mandatory, why do we still keep so many masjids, mazars, dargahs?
#GyanvapiCase https://t.co/QmD7E1OFng",en,1,287,when namaz is not mandatory why do we still keep so many masjid mazars dargahs URL ,"['when', 'namaz', 'is', 'not', 'mandatory', 'why', 'do', 'we', 'still', 'keep', 'so', 'many', 'masjid', 'mazars', 'dargahs', 'URL']","[('when', 'WRB'), ('namaz', 'NN'), ('is', 'VBZ'), ('not', 'RB'), ('mandatory', 'JJ'), ('why', 'WRB'), ('do', 'VBP'), ('we', 'PRP'), ('still', 'RB'), ('keep', 'VB'), ('so', 'RB'), ('many', 'JJ'), ('masjid', 'NN'), ('mazars', 'NNS'), ('dargahs', 'VBP'), ('URL', 'NNP')]",0.25,Positive
16,55,1023557065351028737,sunil28474739,1569590702253932545,2022-09-13 07:35:59+00:00,"My Right to Worship 
Mahadev is Non-negotiable. 
Period !!

#Gyanvapi 
#GyanvapiCase https://t.co/TaiCh6bkXf",en,1,3205,my right to worship mahadev is non negotiable period URL ,"['my', 'right', 'to', 'worship', 'mahadev', 'is', 'non', 'negotiable', 'period', 'URL']","[('my', 'PRP$'), ('right', 'NN'), ('to', 'TO'), ('worship', 'VB'), ('mahadev', 'NN'), ('is', 'VBZ'), ('non', 'JJ'), ('negotiable', 'JJ'), ('period', 'NN'), ('URL', 'NNP')]",0.625,Positive
17,58,1218039177628962824,hindu_uttam,1569590258714673153,2022-09-13 07:34:13+00:00,"Two Words For Them

My word is....👇
Some Heroes wear Black 

#GyanvapiCase https://t.co/KvZEEY3WYN",en,0,3536,two word for them my word is some hero wear black URL ,"['two', 'word', 'for', 'them', 'my', 'word', 'is', 'some', 'hero', 'wear', 'black', 'URL']","[('two', 'CD'), ('word', 'NN'), ('for', 'IN'), ('them', 'PRP'), ('my', 'PRP$'), ('word', 'NN'), ('is', 'VBZ'), ('some', 'DT'), ('hero', 'NN'), ('wear', 'JJ'), ('black', 'JJ'), ('URL', 'NN')]",0.5,Positive
